"MAINC1 Personal Income Summary: Personal Income, Population, Per Capita Personal Income",,,,,,,
Personal income (Percent of U.S.) ,,,,,,,
Bureau of Economic Analysis ,,,,,,,
Combined Statistical Area,,,,,,,
GeoFips,GeoName,2012,2013,2014,2015,2016,2017
89393,"Moses Lake-Othello, WA (Combined Statistical Area)",0,0,0,0,0,0
89394,"Mount Pleasant-Alma, MI (Combined Statistical Area)",0,0,0,0,0,0
89396,"Myrtle Beach-Conway, SC-NC (Combined Statistical Area)",0.1,0.1,0.1,0.1,0.1,0.1
89400,"Nashville-Davidson--Murfreesboro, TN (Combined Statistical Area)",0.6,0.6,0.6,0.6,0.6,0.7
89404,"New Bern-Morehead City, NC (Combined Statistical Area)",0.1,0.1,0.1,0.1,0.1,0.1
89406,"New Orleans-Metairie-Hammond, LA-MS (Combined Statistical Area)",0.4,0.4,0.4,0.4,0.4,0.4
89408,"New York-Newark, NY-NJ-CT-PA (Combined Statistical Area)",10.1,10,10,9.9,9.9,10
89412,"North Port-Sarasota, FL (Combined Statistical Area)",0.3,0.3,0.3,0.3,0.3,0.3
89416,"Oklahoma City-Shawnee, OK (Combined Statistical Area)",0.4,0.4,0.4,0.4,0.4,0.4
89420,"Omaha-Council Bluffs-Fremont, NE-IA (Combined Statistical Area)",0.3,0.3,0.3,0.3,0.3,0.3
89422,"Orlando-Deltona-Daytona Beach, FL (Combined Statistical Area)",0.7,0.7,0.8,0.8,0.8,0.8
89423,"Oskaloosa-Pella, IA (Combined Statistical Area)",0,0,0,0,0,0
89424,"Paducah-Mayfield, KY-IL (Combined Statistical Area)",0,0,0,0,0,0
89425,"Parkersburg-Marietta-Vienna, WV-OH (Combined Statistical Area)",0,0,0,0,0,0
89426,"Pensacola-Ferry Pass, FL-AL (Combined Statistical Area)",0.1,0.1,0.1,0.1,0.1,0.1
89427,"Peoria-Canton, IL (Combined Statistical Area)",0.1,0.1,0.1,0.1,0.1,0.1
89428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD (Combined Statistical Area)",2.6,2.6,2.6,2.5,2.6,2.5
89430,"Pittsburgh-New Castle-Weirton, PA-OH-WV (Combined Statistical Area)",0.9,0.9,0.8,0.8,0.8,0.8
89438,"Portland-Lewiston-South Portland, ME (Combined Statistical Area)",0.2,0.2,0.2,0.2,0.2,0.2
89440,"Portland-Vancouver-Salem, OR-WA (Combined Statistical Area)",0.9,0.9,0.9,0.9,1,1
89444,"Pueblo-Ca̱on City, CO (Combined Statistical Area)",0,0,0,0,0,0
